,productId,title,userId,profileName,score,text,Time,ip,time,Annotation,Actual_True,Outcome,res
0,B000F1UQJY,"Motorola HT820 Stereo Bluetooth Headset with microphone , Wireless , 12 hours Music",A1LO9930ULWDMZ,Ivan Arturo Paiz Solorzano,4,"A great device, I use it with a NOKIA 9300 it is great.I use it during the gym, I can hear my songs and do not waste a call at all.Cons.: Low Volume, Not as loud as an ipod or mp3 playerPro: Very very confortable, great singal coverage.I you are looking for hearing your mp3 songs in your phone it is great. Watch out that it is not compatible to hear mp3 music from all MOtorola, I tried it with a V3i, and I only was able to use it as a regular bluetooth headset, I could not hear any music at all.I gurantee you your satisfaction.",26-07-2006 00:00,195.149.70.0/24,1153872000,0,1,FN,0.07999999999999999
1,B000F1UQJY,"Motorola HT820 Stereo Bluetooth Headset with microphone , Wireless , 12 hours Music",A1LO9930ULWDMZ,Ivan Arturo Paiz Solorzano,5,"I've gone through many different bluetooth headphones. This is the first pair I ever bought many many years ago. I'm wearing them right now. I've tried the S9's, S10's, Jabra Halo, Jabra Sport, Arctic Cooling. That doesn't even include the plain old jerk-buds.These look atrocious. My wife hates them. They are still my gold standard.I have a walk that kills BT reception every time on every headset. These only lose the signal for half a step. The Jabra Sport, by contrast, doesn't even work when it is set on the table in front of me. The Arctic Cooling headphones are my latest. They are more comfortable, but still lose the signal whenever I walk outside.Yes, I live next to a Cell Tower. So my situation is very stressful for a BT headphone or headset. The BT820s, old school, just work. Period.",17-08-2012 00:00,195.149.70.0/24,1153872000,1,0,FP,0.27999999999999997
2,B000F1UQJY,"Motorola HT820 Stereo Bluetooth Headset with microphone , Wireless , 12 hours Music",A1LVXNYOHKMCHK,"John Anetrella ""esse est percipi""",5,Review is a few years late. Worked great when I had them. You look like a complete dork with them on. Product is archaic now.,20-09-2011 00:00,195.149.96.0/24,1316476800,0,0,FN,0.27999999999999997
3,B000F1UQJY,"Motorola HT820 Stereo Bluetooth Headset with microphone , Wireless , 12 hours Music",A2X1O4ZG00B0U5,"JRod3737 ""jrod37""",1,"According to the specifications this headset supports Bluetooth 1.2, as well as the Advanced Audio Distribution Profile (A2DP) and the Audio Video Remote Control Profile (AVRCP). I could not get any sound to come out when connected with my Sony Ericsson w600i in phone or Walkman mode, and people could not hear me when I called them. I tried every setting possible, read the instructional booklets for each device and the thing still wouldn't to anything when connected. I am guessing that this headset works fantastically with any Motorola device, but as far as I'm concerned this product is guilty of false advertising. After this experience I do not plan on buying any Motorola Bluetooth devices.",19-09-2006 00:00,195.149.106.0/24,1158624000,0,0,FN,0.52
4,B000F1UQJY,"Motorola HT820 Stereo Bluetooth Headset with microphone , Wireless , 12 hours Music",A1LO9930ULWDMZ,Ivan Arturo Paiz Solorzano,3,IT PAIRED WTH MY IPHONE FINE AND IT WORKS REALLY WELL.BUT IT WILL NOT PAIR WITH THE IPOD IN MY IPHONE.,17-01-2009 00:00,195.149.108.0/23,1232150400,0,0,TN,0.12000000000000002
5,B000EXP0LC,For Motorola V9m/ V3/ V3c/ V3i/ V3m/ V3t/ V3v Razr Razor Leather Case/ Pouch/ Cover - Magnetic Button and Expand Cover with Belt Clip - Black,A3ANN8JHMG4D5,"John R. Carpentier ""JohnC""",5,Great case... cingular should get their cases from this supplier... cingular's case is... sorry can't use that word.,01-06-2007 00:00,195.160.192.0/22,1180656000,0,0,TN,0.0
6,B00004WINX,Motorola Hands-Free Car Kit for Motorola StarTAC Phones,AB1YDLUZ0VW5G,PBJL,4,"The Motorola StarTAC Hands Free Car kit is outstanding. The speaker audio is loud and clear and the microphone pick up crisp. I have had hands free on my previous car phones and it is the &quot;way to go&quot;. The kit is very inclusive and easy to install if you are comfortable with basic electronics and able to take the molding, etc, off your car in order to run the antenna coax, etc. (External antenna is not included but you really need to get one for maximum performance) Anyone who has installed a Ham or CB radio will be right at home. The mounting of the holder for the StarTAC cell phone itself may need some modification or you may want to make a bracket in order to get a neat installation.I would suggest that you mount it as high as possible in order to keep it as close to your driving line of sight for safety concerns. Mine worked flawlessly after a 2-3 hour install in a Ford F-150. Will be mounting one in our Lincoln TC soon. Also suggest that you mount the hands free microphone near the center of the car (near the rear view mirror or center it on the dash) so that a passenger can be heard should they speak. A must have.",13-08-2001 00:00,195.162.74.0/23,997660800,0,0,TN,0.0
7,B00004WINX,Motorola Hands-Free Car Kit for Motorola StarTAC Phones,unknown,unknown,4,The biggest minus is having to remove the phone from the cradle and unplug the cord from the phone to remove from the car. Other than that minor inconvienence it works great,21-09-2002 00:00,195.162.80.0/22,1032566400,1,0,FP,0.0
8,B0006J27C4,"Motorola Razr V3, V3i, V3c, Slvr L7, L6, L2 Pebl U6, V190, Mpx200, V360, V323, V325 - Ch710 OEM Original Auto Car Charger Syn0847",AAWV788Q5CCW1,Kindra Rhodes,5,I got an amazing price on this product and it was exactly what I wanted. The product was shipped and I received it in record time. Thanks for such great customer service.,14-09-2007 00:00,195.149.70.0/24,1153872000,1,1,TP,0.1355555555555556
9,B0006J27C4,"Motorola Razr V3, V3i, V3c, Slvr L7, L6, L2 Pebl U6, V190, Mpx200, V360, V323, V325 - Ch710 OEM Original Auto Car Charger Syn0847",A1G7OSX7VYCHP9,A. Bhan,5,I got an amazing price on this product and it was exactly what I wanted. The product was shipped and I received it. Thanks for such great customer service.,15-08-2007 00:00,213.187.248.0/24,1187136000,0,1,FN,0.1355555555555556
